Year,Mes,Carton,Papel,Vidrio,Tretapak,PET,PEHD,PEBD,PEAD,Playo,Cobre,Fierro,Aluminio,AceiteVeg,AceiteMotor,Baterias,Cartuchos,Electronicos,Chatarra,Archivo,Empresas,Casas
2017,Ene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2017,Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2017,Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2017,Abr,29.7,0,122.6,0,55.5,0,0,0,0,0,0,0,24.7,0,114.4,0,0,,,8,
2017,May,233.8,0,3367.2,0,57.9,0,0,0,0,0,0,104.9,0,0,1.9,0,311.4,,,6,1
2017,Jun,175.1,0,731.3,0,80.1,76.4,0,0,0,0,0,185,69,3.9,0,0,0,,,5,3
2017,Jul,38,0,25,0,37.7,55,0,0,0,0,0,8.2,0,0,83.6,0,3.5,,,3,1
2017,Ago,145.6,32.4,300,0,76.5,0,0,0,8,0,0,2.6,0,0,166.4,496,153,,,3,
2017,Sep,469.3,8,1114.8,0,87.1,74.3,0,0,4,0,0,45,0,0,0,0,0,,,7,3
2017,Oct,1237.5,314,1208.8,0,356.1,51.8,0,0,31.5,0,0,3040,3000,0,0.6,0,0,,,8,1
2017,Nov,212.2,30,500,0,141.9,11,0,0,10,0,0,62,6.2,0,1,0,0,,,5,2
2017,Dic,1183.3,15,3205.7,0,650,432.6,0,0,11,0,0,55,5,48.5,13.9,0,126.6,,,7,
2018,Ene,,,,,,,,,,,,,,,,,,,,,
2018,Feb,1752.1,14,3964.4,0,737.3,0,481.6,25.8,0,0,331.4,284.3,0,0,14.58,0,0,,,29,10
2018,Mar,2181.4,57,6724.5,0,1307.3,0,501,133,0,0,287.9,150.2,3,6.4,0,1,34.6,,,39,18
2018,Abr,1958.4,15,4123.4,0,1050.4,0,305.6,139.6,0,0,291.7,54.6,0,6.4,0,0,221.5,,,26,7
2018,May,1639,22.4,1692.9,0,701.8,0,199.9,64.8,0,0,971,148.6,0,0,25.9,215,0,,,22,21
2018,Jun,937.2,49.8,1924.5,0,723.6,0,120.2,52,0,2,915.7,184.9,0,0,1.2,0,35,,,15,23
2018,Jul,1598.3,64.6,2749.5,0,1254.2,0,459,34.8,0,0,280.6,118.7,0,0,2.2,0,0,,,22,28
2018,Ago,1509.7,13.1,4554.3,0,1000.9,0,252.8,8.6,0,4.8,1311.19,96.6,0,0,1.8,0,229.4,,,30,16
2018,Sep,,,,,,,,,,,,,,,,,,,,,
2018,Oct,,,,,,,,,,,,,,,,,,,,,
2018,Nov,,,,,,,,,,,,,,,,,,,,,
2018,Dic,,,,,,,,,,,,,,,,,,,,,
2019,Ene,,,,,,,,,,,,,,,,,,,,,
2019,Feb,,,,,,,,,,,,,,,,,,,,,
2019,Mar,,,,,,,,,,,,,,,,,,,,,
2019,Abr,,,,,,,,,,,,,,,,,,,,,
2019,May,22,0,0,0,12,22,0,19,0,0,0,0,181,0,0,0,368,8,0,9,2
2019,Jun,199,1,250,0.5,55,0,1.2,171,0,0,0,0,2,0,0,0,8,17,0,14,2
2019,Jul,302.6,39,408.5,2,126.4,0,11.5,197,8,0,0,12.5,0,0,0,0,1.4,75.4,0,18,6
2019,Ago,464.2,27,554,6.1,116.9,0,0,32,30,0,0,12.8,0,0,2.7,,55,4.3,0,20,4
2019,Sep,103,0,157,6.9,76.5,0,10,149,0.2,0,0,9.5,0,0,0,0,0,16.2,40,15,3
2019,Oct,73,0,220,6,51,0,0,7,0.4,0,0,15.6,0,0,0,0,0,52,19,11,3
2019,Nov,457.3,0,937,1.6,129,0,0,93.5,2.1,0,0,19.1,0,0,0,0,9,28.5,73,23,0
2019,Dic,194,0,356,8,49,0,0,101,9,0,0,35.2,25,0,0,0,0,23,0,11,6
2020,Ene,348,0,811,14.5,92,0,0,48.5,16.5,0,0,57.5,0,0,0.5,0,0,24.5,28,12,7
2020,Feb,362,0,816,0,101.5,0,0,53.5,17,0,0,27,65,0,0,0,0,152,0,16,4
2020,Mar,,,,,,,,,,,,,,,,,,,,,
2020,Abr,,,,,,,,,,,,,,,,,,,,,
2020,May,,,,,,,,,,,,,,,,,,,,,
2020,Jun,295.5,0,1560.5,23,375.8,0,0,90,15,0,0,21,60,0,0,0,10,27,6,14,10
2020,Jul,326,0,995,1,417,0,0,19,5,0,0,96,20,0,0,0,0,3,4,16,6
2020,Ago,112.5,0,1025,1,274.5,0,0,13,3,0,0,101.4,44,0,0,0,2,5,8,15,4
2020,Sep,181,0,358,10.5,110,0,0,9,6,0,0,33.5,30,0,0,0,4,14,0,16,2
2020,Oct,194,0,405,1,90,0,0,35,3.5,0,0,24,20,0,3,0,60,53,12,15,9
2020,Nov,226,0,556,0.5,93.5,0,0,20,10,0,0,36,28,0,0,0,236,76,0,16,6
2020,Dic,,,,,,,,,,,,,,,,,,,,,